ID,Location_ID,Sensing_Date,HourDay,Direction_1,Direction_2,Total_of_Directions,Sensor_Name,Location
482320240214,48,2024-02-14,23,63,74,137,QVMQ_T,"-37.80631581, 144.95866697"
30620250806,30,2025-08-06,6,26,18,44,Lon189_T,"-37.8112185, 144.96656806"
201920250525,20,2025-05-25,19,367,509,876,LtB170_T,"-37.81172914, 144.9682466"
251320240509,25,2024-05-09,13,686,608,1294,MCEC_T,"-37.82401776, 144.95604426"
251220240518,25,2024-05-18,12,719,734,1453,MCEC_T,"-37.82401776, 144.95604426"
139820240809,139,2024-08-09,8,19,264,283,Signal1647_T,"-37.81959923, 144.9632832"
142520240525,142,2024-05-25,5,6,1,7,Hammer1584_T,"-37.81970749, 144.96795734"
1612220250510,161,2025-05-10,22,0,21,21,BirArt1109_T,"-37.81851276, 144.97131336"
662220241112,66,2024-11-12,22,435,259,694,QVN_T,"-37.81057846, 144.96444294"
662220250414,66,2025-04-14,22,429,149,578,QVN_T,"-37.81057846, 144.96444294"
661920241101,66,2024-11-01,19,1328,1323,2651,QVN_T,"-37.81057846, 144.96444294"
61920240617,6,2024-06-17,19,454,539,993,FliS_T,"-37.81911705, 144.96558255"
39920240314,39,2024-03-14,9,163,174,337,AlfPl_T,"-37.81379749, 144.96995745"
752020250718,75,2025-07-18,20,9,16,25,SprFli_T,"-37.81515276, 144.97467661"
772120240314,77,2024-03-14,21,37,33,70,HarEsP_T,"-37.81441438, 144.94433026"
591920250225,59,2025-02-25,19,226,218,444,RMIT_T,"-37.80825648, 144.96304859"
42920250811,42,2025-08-11,9,291,106,397,UM1_T,"-37.80008566, 144.96386412"
71320240828,71,2024-08-28,3,3,2,5,WestWP_T,"-37.81235775, 144.97136962"
311320240921,31,2024-09-21,13,242,178,420,Lyg161_T,"-37.80169681, 144.96658911"
28320240319,28,2024-03-19,3,3,23,26,VAC_T,"-37.82129925, 144.96879309"
311320250217,31,2025-02-17,13,181,150,331,Lyg161_T,"-37.80169681, 144.96658911"
361520231125,36,2023-11-25,15,145,169,314,Que85_T,"-37.81652527, 144.96121062"
37320231210,37,2023-12-10,3,4,3,7,Lyg260_T,"-37.80107122, 144.96704554"
43920250922,43,2025-09-22,9,171,64,235,UM2_T,"-37.79844526, 144.96411782"
452220240913,45,2024-09-13,22,378,461,839,Swa148_T,"-37.81414075, 144.96609379"
21520231102,21,2023-11-02,5,16,16,32,Bourke155_T,"-37.81267313, 144.96788288"
131420240311,131,2024-03-11,4,4,39,43,King2_T,"-37.82009057, 144.95758725"
1341320240126,134,2024-01-26,13,339,346,685,Spen201_T,"-37.81694221, 144.95303935"
135120231206,135,2023-12-06,1,14,34,48,Spen161_T,"-37.8172861, 144.95319102"
107820241217,107,2024-12-17,8,57,207,264,280Will_T,"-37.81246271, 144.95690188"
