trading_name,business_address,num_patrons,longitude,latitude,clue_area,capacity_category,census_year
The Owl & The Pussycat,"Shop 2, Ground , 333 Exhibition Street MELBOURNE 3000",100,144.96806936930756,-37.80780226572104,Melbourne (CBD),Medium (50-149),2007
Underbridge Sports Bar & Cafe,Part 816 Lorimer Street PORT MELBOURNE 3207,60,144.9309905271,-37.82204522292776,Port Melbourne,Medium (50-149),2015
VS Sports Bar,"Part Level 2, 206 Bourke Street MELBOURNE 3000",80,144.96687115185,-37.81267380947152,Melbourne (CBD),Medium (50-149),2017
Little Red Pocket,"Front Mezzanine , 422 Little Collins Street MELBOURNE 3000",200,144.960326283,-37.81590751060847,Melbourne (CBD),Large (150+),2018
Ding Dong Lounge,"Level 1, 18 Market Lane MELBOURNE 3000",300,144.96940300382883,-37.8117510903,Melbourne (CBD),Large (150+),2018
Metropolitan Hotel,263-267 William Street MELBOURNE 3000,300,144.95658352206044,-37.812923770050006,Melbourne (CBD),Large (150+),2019
Nomads Melbourne,196-200 A'Beckett Street MELBOURNE VIC 3000,200,144.9574428265,-37.809991913454375,Melbourne (CBD),Large (150+),2020
Waterfront Venues Melbourne,"Suite 2, Level 1 78 Newquay Promenade DOCKLANDS VIC 3008",1059,144.93958160663215,-37.8152440667,Docklands,Large (150+),2020
Whiskey Den,"Lot 2B, Ground 27 Russell Street MELBOURNE VIC 3000",40,144.9692476162641,-37.81598739985,Melbourne (CBD),Small (< 50),2023
Chaise Lounge,Basement 105 Queen Street MELBOURNE VIC 3000,140,144.96081186462072,-37.816154899500006,Melbourne (CBD),Medium (50-149),2023
Glamp Bar,"Shop 1, 236 Little Collins Street MELBOURNE VIC 3000",200,144.96680036332666,-37.8141314686,Melbourne (CBD),Large (150+),2023
Madame Brussels,Level 3 59-63 Bourke Street MELBOURNE VIC 3000,256,144.9715655659,-37.81212342700134,Melbourne (CBD),Large (150+),2023
Alto Event Space,Office T03 338-352 Bourke Street MELBOURNE VIC 3000,400,144.96328859745,-37.813603510656634,Melbourne (CBD),Large (150+),2023
Trapt Bar & Escape Rooms,"Unit 1, 377 Lonsdale Street MELBOURNE VIC 3000",331,144.96145448655,-37.8128794732693,Melbourne (CBD),Large (150+),2023
Hoyts,Cinema Level 3 300 Lonsdale Street MELBOURNE VIC 3000,300,144.96283887063584,-37.8109017475,Melbourne (CBD),Large (150+),2023
Benchwarmer,Ground 345 Victoria Street WEST MELBOURNE VIC 3003,90,144.9499612966,-37.80546285827148,West Melbourne (Residential),Medium (50-149),2023
White Bark Wine,Ground 313 Victoria Street WEST MELBOURNE VIC 3003,50,144.95109253555,-37.80556535749169,West Melbourne (Residential),Medium (50-149),2023
Hotel Pullman on The Park,Pullman Melbourne on the Park 192 Wellington Parade EAST MELBOURNE VIC 3002,280,144.9834985310669,-37.81582309525,East Melbourne,Large (150+),2023
Crown Entertainment Complex,Crown Entertainment Complex Crown Casino 8 Whiteman Street SOUTHBANK VIC 3006,320,144.95833415319856,-37.8231615915,Southbank,Large (150+),2023
The Boatbuilders Yard,23 South Wharf Promenade SOUTH WHARF VIC 3006,1438,144.953427152051,-37.8243151474,Southbank,Large (150+),2023
Dreams Gentlemen's Club,288 Flinders Street MELBOURNE VIC 3000,160,144.96460797480603,-37.8180566348,Melbourne (CBD),Large (150+),2023
Akai Ito / Ototo,349 Flinders Lane MELBOURNE VIC 3000,120,144.9628576858,-37.8178728705466,Melbourne (CBD),Medium (50-149),2023
Garden State Hotel,95-101 Flinders Lane MELBOURNE VIC 3000,840,144.97109866785,-37.8155271957592,Melbourne (CBD),Large (150+),2023
Meatball & Wine Bar,Ground 135 Flinders Lane MELBOURNE VIC 3000,110,144.97015887790002,-37.81573933184235,Melbourne (CBD),Medium (50-149),2023
Batman's Hill On Collins,623 Collins Street MELBOURNE VIC 3000,1500,144.95468930417508,-37.8192924326,Melbourne (CBD),Large (150+),2023
Hell's Kitchen,Mezzanine 20A Centre Place MELBOURNE VIC 3000,55,144.96559654045,-37.81660289619204,Melbourne (CBD),Medium (50-149),2023
Hotel Sophia,Hotel Sophia 277-287 King Street MELBOURNE VIC 3000,116,144.95419986245005,-37.81367554097035,Melbourne (CBD),Medium (50-149),2023
Father's Office,249 Little Lonsdale Street MELBOURNE VIC 3000,338,144.965725053002,-37.81067861705,Melbourne (CBD),Large (150+),2023
Podium,Part Ground 501 Swanston Street MELBOURNE VIC 3000,200,144.96192497362023,-37.80693100035,Melbourne (CBD),Large (150+),2023
Taquito,350-352 Drummond Street CARLTON VIC 3053,100,144.969271200536,-37.7977107399,Carlton,Medium (50-149),2023
Left Bank Melbourne,Part Ground 1 Southbank Boulevard SOUTHBANK VIC 3006,400,144.96286670927697,-37.82103934615,Southbank,Large (150+),2023
Melbourne Marriott Hotel Docklands,15 Waterfront Way DOCKLANDS VIC 3008,62,144.9391383741,-37.81372142742242,Docklands,Medium (50-149),2023
Grosvenor Tavern,"Basement , 25 Little Collins Street MELBOURNE 3000",230,144.96300475180894,-37.81569962584264,Melbourne (CBD),Large (150+),2004
Plough and Harrow Hotel,125-127 Swanston Street CARLTON 3053,400,144.96395480388765,-37.80277137275811,Carlton,Large (150+),2006
Sen Karaoke Bar,231-233 Exhibition Street MELBOURNE 3000,120,144.96952230092296,-37.810509029672616,Melbourne (CBD),Medium (50-149),2007
Tilt,272 Russell Street MELBOURNE 3000,130,144.96714253225628,-37.81007370116682,Melbourne (CBD),Medium (50-149),2007
Barber Bar,"Ground , 315 Victoria Street WEST MELBOURNE 3003",50,144.95104717105,-37.80556551099649,West Melbourne (Residential),Medium (50-149),2011
Vodka Locka & Red Leaf Restaurant,2 Boundary Road NORTH MELBOURNE 3051,40,144.9392476268893,-37.7953162502,North Melbourne,Small (< 50),2011
Menzies Tavern Hotel,"Unit 1, Basement , 446-452 Collins Street MELBOURNE 3000",197,144.95945271555306,-37.81730587963641,Melbourne (CBD),Large (150+),2016
Word,14-20 Goldie Place MELBOURNE 3000,200,144.96073157987536,-37.81328635195,Melbourne (CBD),Large (150+),2017
Disco Bar,"Basement , 167 Franklin Street MELBOURNE 3000",200,144.95915618785,-37.80897727672806,Melbourne (CBD),Large (150+),2018
Dan O'Connell Hotel,223-227 Canning Street CARLTON 3053,100,144.97338802913018,-37.793030424449995,Carlton,Medium (50-149),2019
Vibe Hotel,419-443 Royal Parade PARKVILLE 3052,69,144.95881538955987,-37.78289819395,Parkville,Medium (50-149),2019
The Mug House,Part Ground 440 Collins Street MELBOURNE VIC 3000,80,144.95976167600003,-37.81703292415311,Melbourne (CBD),Medium (50-149),2021
Spearmint Rhino Gentlemen's Club,Gnd & Flr1 20 King Street MELBOURNE VIC 3000,660,144.9577137804946,-37.8197759733,Melbourne (CBD),Large (150+),2023
Young & Jacksons,Young And Jacksons Hotel 1-7 Swanston Street MELBOURNE VIC 3000,470,144.96702291591578,-37.8173559295,Melbourne (CBD),Large (150+),2023
The Black Rabbit,Basement 85 Queen Street MELBOURNE VIC 3000,230,144.96102193282508,-37.8164972607,Melbourne (CBD),Large (150+),2023
The Bank On Collins,Mezzanine 394 Collins Street MELBOURNE VIC 3000,300,144.96107938833774,-37.8166130827,Melbourne (CBD),Large (150+),2023
RACV City Club,501 Bourke Street MELBOURNE VIC 3000,150,144.9595844372,-37.81588561749844,Melbourne (CBD),Large (150+),2023
The Luwow,212 Little Collins Street MELBOURNE VIC 3000,50,144.96715296055,-37.813901255761195,Melbourne (CBD),Medium (50-149),2023
