trading_name,business_address,industry_desc,seating_type,num_seats,longitude,latitude,clue_area,seating_category,has_outdoor,census_year
Lindt Chocolat Cafe,"Shop , Abutting 271 Collins Street MELBOURNE 3000",Cafes and Restaurants,Seats - Indoor,38,144.96497351275002,-37.81654781240799,Melbourne (CBD),Medium (30-99 seats),FALSE,2019
Chilli India,"Part Ground , 140-146 King Street MELBOURNE 3000",Cafes and Restaurants,Seats - Indoor,75,144.95628515442587,-37.81673696529579,Melbourne (CBD),Medium (30-99 seats),FALSE,2016
Garage Cafe & Bar,"Part Ground , 213 Berkeley Street MELBOURNE 3000",Cafes and Restaurants,Seats - Indoor,70,144.95841066532603,-37.80041001275001,Carlton,Medium (30-99 seats),FALSE,2017
Teresa's Cafe,Part 90-98 Coode Road WEST MELBOURNE 3003,Takeaway Food Services,Seats - Indoor,3,144.92234829860743,-37.811210543399994,West Melbourne (Industrial),Small (< 30 seats),FALSE,2017
Hokuto Japanese Cafe,"Ground , 389 Swanston Street MELBOURNE 3000",Takeaway Food Services,Seats - Outdoor,8,144.9634152524011,-37.809455816,Melbourne (CBD),Small (< 30 seats),TRUE,2018
Sheila Baxter Training Centre Pty Ltd,91-93 Queens Bridge Street SOUTHBANK 3006,Technical and Vocational Education and Training,Seats - Indoor,24,144.96090633511037,-37.8243599276,Southbank,Small (< 30 seats),FALSE,2018
Cafe Trutrack,"Part Ground , 56-62 Leveson Street NORTH MELBOURNE 3051",Cafes and Restaurants,Seats - Outdoor,20,144.9514856841173,-37.8028418476,North Melbourne,Small (< 30 seats),TRUE,2019
Counter,104B Errol Street NORTH MELBOURNE 3051,Takeaway Food Services,Seats - Outdoor,4,144.9500268711638,-37.80247625545,North Melbourne,Small (< 30 seats),TRUE,2019
Dumpling Station,Part 201-205 Kensington Road WEST MELBOURNE 3003,Takeaway Food Services,Seats - Indoor,10,144.91683352615,-37.80088043885976,West Melbourne (Industrial),Small (< 30 seats),FALSE,2019
The Deck Cafe On St Kilda Road,Part Ground 479 St Kilda Road MELBOURNE VIC 3004,Cafes and Restaurants,Seats - Indoor,32,144.97855578386498,-37.84188069845,Melbourne (Remainder),Medium (30-99 seats),FALSE,2019
Ganache Chocolate Lounge,Ground 245 Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,16,144.96582950754998,-37.816061838299795,Melbourne (CBD),Small (< 30 seats),TRUE,2021
Hudsons Elizabeth Street,84-86 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,31,144.96418214767343,-37.8159129499,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
Polepole Bar & Kitchen/Glamp,Part Ground & Level 1 267 Little Collins Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",Seats - Indoor,70,144.9656017104,-37.814831977068074,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
Rockpool Events & Catering,Gnd & Flr1 7 Alfred Place MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,185,144.9699104238,-37.8140128186636,Melbourne (CBD),Large (100+ seats),FALSE,2021
Elements Catering,Part Gnd Lvl Foyer & Shop 3 Podium 120 Collins Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,50,144.9693156901375,-37.81400034895,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
Garcon Paris Steakhouse,"Shop 5, Ground 90 Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,65,144.9702869013,-37.814017675237665,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
Cafenatics,"Shop 4, 500 Bourke Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Outdoor,39,144.9587722405,-37.81494328910046,Melbourne (CBD),Medium (30-99 seats),TRUE,2021
Movida Aqui,"Shop 7, 500 Bourke Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Outdoor,50,144.9587722405,-37.81494328910046,Melbourne (CBD),Medium (30-99 seats),TRUE,2021
Pho Melbourne,170 William Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,57,144.9582198443308,-37.8149175538,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
Grill'd Healthy Burgers,369-371 Little Bourke Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,90,144.96178171780002,-37.81367164858022,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
David's Spicy Pot,166 Russell Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,76,144.96820630246282,-37.8123200498,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
Hibachi,228-230 King Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,100,144.95530902931483,-37.81478619225,Melbourne (CBD),Large (100+ seats),FALSE,2021
Shanxi Street Food,260-262 Russell Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,62,144.96722712478976,-37.810254818450005,Melbourne (CBD),Medium (30-99 seats),FALSE,2021
The Haileyburian,Part Ground 383 King Street WEST MELBOURNE VIC 3003,Cafes and Restaurants,Seats - Outdoor,12,144.9529244668,-37.81110763142357,West Melbourne (Residential),Small (< 30 seats),TRUE,2021
Hard Pressed,76 Wellington Parade EAST MELBOURNE VIC 3002,Cafes and Restaurants,Seats - Outdoor,6,144.98755482575,-37.816377283351045,East Melbourne,Small (< 30 seats),TRUE,2021
Magnolia Court Boutique Hotel,95-101 Powlett Street EAST MELBOURNE VIC 3002,Accommodation,Seats - Outdoor,12,144.9853028460347,-37.81337466405,East Melbourne,Small (< 30 seats),TRUE,2021
Degani @ East Melbourne,"Shop 1, 372-376 Albert Street EAST MELBOURNE VIC 3002",Cafes and Restaurants,Seats - Outdoor,18,144.9787049235106,-37.8096392096,East Melbourne,Small (< 30 seats),TRUE,2021
Treasury Cafe,Part Level 1 1 MacArthur Street EAST MELBOURNE VIC 3002,Cafes and Restaurants,Seats - Outdoor,80,144.97567152833767,-37.81280015315,East Melbourne,Medium (30-99 seats),TRUE,2021
Urban Central Accommodation,Pt Ground & Levels 1-5 334-342 City Road SOUTHBANK VIC 3006,Accommodation,Seats - Indoor,50,144.9573512903071,-37.8278377219,Southbank,Medium (30-99 seats),FALSE,2022
Cuff,Part Ground 325 Flinders Lane MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,20,144.96349102099998,-37.817758351759565,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Maha Restaurant,Basement 21-27 Bond Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,20,144.96253029605134,-37.8181930679,Melbourne (CBD),Small (< 30 seats),TRUE,2023
Cafe Andiamo,36-38 Degraves Street MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Outdoor,68,144.9659026789,-37.817063086367355,Melbourne (CBD),Medium (30-99 seats),TRUE,2023
Pastuso,19 ACDC Lane MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,170,144.97115550389998,-37.81600505953291,Melbourne (CBD),Large (100+ seats),FALSE,2023
Pho Nom,"Tenancy 4, 567 Collins Street MELBOURNE VIC 3000",Cafes and Restaurants,Seats - Indoor,16,144.95572468102446,-37.8190200855,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Brunetti City,Ground 250 Flinders Lane MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,300,144.96565081735002,-37.816351987746074,Melbourne (CBD),Large (100+ seats),FALSE,2023
Rush Sushi,"Shop 62, 45 Collins Street MELBOURNE VIC 3000",Takeaway Food Services,Seats - Indoor,16,144.97262557265284,-37.81430518125,Melbourne (CBD),Small (< 30 seats),FALSE,2023
Southern Xross Kebabs,102 Spencer Street MELBOURNE VIC 3000,Takeaway Food Services,Seats - Indoor,17,144.95435075675,-37.81867521100554,Melbourne (CBD),Small (< 30 seats),FALSE,2023
The Bottom End,577-583 Little Collins Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",Seats - Indoor,70,144.95560629865,-37.81782615791781,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Saving Grace,30 Church Lane MELBOURNE VIC 3000,Cafes and Restaurants,Seats - Indoor,50,144.95779868354998,-37.81719662136835,Melbourne (CBD),Medium (30-99 seats),FALSE,2023
Mitre Tavern,Mitre Tavern 5-9 Bank Place MELBOURNE VIC 3000,"Pubs, Taverns and Bars",Seats - Outdoor,120,144.96028846791666,-37.8168041117,Melbourne (CBD),Large (100+ seats),TRUE,2023
