hour,is_weekend,avg_count,total_sensors,day_type,time_of_day
0,FALSE,54.76446264330147,97,Weekday,Night
0,TRUE,169.00748687166214,97,Weekend,Night
1,FALSE,35.907300969084794,97,Weekday,Night
1,TRUE,109.57420603123728,96,Weekend,Night
2,FALSE,18.781575430136527,96,Weekday,Night
2,TRUE,70.75006671942155,93,Weekend,Night
3,FALSE,15.973016131714548,94,Weekday,Night
3,TRUE,53.41163284147155,93,Weekend,Night
4,FALSE,14.814415970353512,95,Weekday,Night
4,TRUE,31.00652958152958,93,Weekend,Night
5,FALSE,32.59362999354025,97,Weekday,Night
5,TRUE,28.31693070522858,94,Weekend,Night
6,FALSE,99.70576974167345,98,Weekday,Morning
6,TRUE,45.208320932539685,96,Weekend,Morning
7,FALSE,237.22725246902215,98,Weekday,Morning
7,TRUE,92.32407861235987,96,Weekend,Morning
8,FALSE,530.8225590019796,97,Weekday,Morning
8,TRUE,155.2913889640452,96,Weekend,Morning
9,FALSE,431.35633014006015,98,Weekday,Morning
9,TRUE,286.3565960355434,95,Weekend,Morning
10,FALSE,438.59242125526987,98,Weekday,Morning
10,TRUE,434.3710451347049,97,Weekend,Morning
11,FALSE,529.5840480041431,98,Weekday,Morning
11,TRUE,615.5494340710835,97,Weekend,Morning
12,FALSE,765.9963367301175,97,Weekday,Afternoon
12,TRUE,760.8515707931524,98,Weekend,Afternoon
13,FALSE,786.9636249710107,98,Weekday,Afternoon
13,TRUE,770.1760007064695,96,Weekend,Afternoon
14,FALSE,676.2501184642094,98,Weekday,Afternoon
14,TRUE,774.5363540105727,96,Weekend,Afternoon
15,FALSE,672.4901485742375,98,Weekday,Afternoon
15,TRUE,842.399651665631,97,Weekend,Afternoon
16,FALSE,743.134254744045,98,Weekday,Afternoon
16,TRUE,779.7411000564061,98,Weekend,Afternoon
17,FALSE,897.8473903458015,98,Weekday,Evening
17,TRUE,708.5708009872072,96,Weekend,Evening
18,FALSE,698.6212304477045,98,Weekday,Evening
18,TRUE,608.0790456649831,96,Weekend,Evening
19,FALSE,519.3705287314905,98,Weekday,Evening
19,TRUE,561.1962865259741,96,Weekend,Evening
20,FALSE,436.03810816530034,98,Weekday,Evening
20,TRUE,479.2194313906049,98,Weekend,Evening
21,FALSE,354.5424780204415,98,Weekday,Evening
21,TRUE,388.51881801647426,96,Weekend,Evening
22,FALSE,277.33559311065227,96,Weekday,Night
22,TRUE,350.7231396673502,95,Weekend,Night
23,FALSE,168.2300084806165,96,Weekday,Night
23,TRUE,256.61520306726493,97,Weekend,Night
