sensor_name,sensing_date,year,month,day_of_week,hour,total,is_weekend,latitude,longitude
Lon189_T,2025-08-06,2025,8,Wednesday,6,44,FALSE,-37.8112185,144.96656806
LtB170_T,2025-05-25,2025,5,Sunday,19,876,TRUE,-37.81172914,144.9682466
BirArt1109_T,2025-05-10,2025,5,Saturday,22,21,TRUE,-37.81851276,144.97131336
SprFli_T,2025-07-18,2025,7,Friday,20,25,FALSE,-37.81515276,144.97467661
UM1_T,2025-08-11,2025,8,Monday,9,397,FALSE,-37.80008566,144.96386412
UM2_T,2025-09-22,2025,9,Monday,9,235,FALSE,-37.79844526,144.96411782
Fli114C_T,2025-09-27,2025,9,Saturday,4,2,TRUE,-37.81632783,144.97090512
Swa123_T,2025-08-09,2025,8,Saturday,4,81,TRUE,-37.81487988,144.9660878
HarEsP_T,2025-06-18,2025,6,Wednesday,4,3,FALSE,-37.81441438,144.94433026
UM1_T,2025-08-28,2025,8,Thursday,2,10,FALSE,-37.80008566,144.96386412
RMIT_T,2025-09-08,2025,9,Monday,13,2546,FALSE,-37.80825648,144.96304859
RMIT_T,2025-04-28,2025,4,Monday,15,1712,FALSE,-37.80825648,144.96304859
280Will_T,2025-10-02,2025,10,Thursday,12,378,FALSE,-37.81246271,144.95690188
UM3_T,2025-05-30,2025,5,Friday,2,3,FALSE,-37.79698741,144.96441306
Eli197_T,2025-09-10,2025,9,Wednesday,0,81,FALSE,-37.81374643,144.96276183
Pow61_T,2025-09-20,2025,9,Saturday,9,83,TRUE,-37.82392385,144.96299677
Eli489_T,2025-05-27,2025,5,Tuesday,18,428,FALSE,-37.80740397,144.95987909
Lat526_T,2025-04-26,2025,4,Saturday,16,114,TRUE,-37.81304149,144.95155955
FLDegS_T,2025-04-18,2025,4,Friday,11,910,FALSE,-37.81688755,144.96562569
FLDegN_T,2025-08-12,2025,8,Tuesday,4,3,FALSE,-37.8168479,144.96559789
Col12_T,2025-05-02,2025,5,Friday,9,597,FALSE,-37.81344862,144.97305353
Bou231_T,2025-05-18,2025,5,Sunday,21,115,TRUE,-37.81333081,144.96675571
WatCit_T,2025-10-06,2025,10,Monday,19,186,FALSE,-37.81564989,144.93970694
Lon364_T,2025-09-16,2025,9,Tuesday,2,4,FALSE,-37.81234775,144.96153311
Vic_T,2025-06-14,2025,6,Saturday,5,18,TRUE,-37.80606888,144.95644692
RMIT_T,2025-06-24,2025,6,Tuesday,8,696,FALSE,-37.80825648,144.96304859
BirBridge_T,2025-09-28,2025,9,Sunday,8,1,TRUE,-37.81757416,144.97329934
Eli197_T,2025-07-23,2025,7,Wednesday,21,766,FALSE,-37.81374643,144.96276183
Bou231_T,2025-09-28,2025,9,Sunday,12,722,TRUE,-37.81333081,144.96675571
KenMac_T,2025-08-20,2025,8,Wednesday,17,122,FALSE,-37.79453803,144.93036194
Vic_T,2025-07-01,2025,7,Tuesday,8,158,FALSE,-37.80606888,144.95644692
Fra118_T,2025-06-26,2025,6,Thursday,1,6,FALSE,-37.80841815,144.95906316
Bou892T,2025-08-18,2025,8,Monday,5,2,FALSE,-37.8204637,144.94126826
LtB210_T,2025-05-09,2025,5,Friday,0,166,FALSE,-37.81237202,144.96550671
QVN_T,2025-05-28,2025,5,Wednesday,5,41,FALSE,-37.81057846,144.96444294
FliS_T,2025-09-05,2025,9,Friday,11,1118,FALSE,-37.81911705,144.96558255
ElFi_T,2025-07-18,2025,7,Friday,19,2000,FALSE,-37.81798049,144.96503383
AlfPl_T,2025-06-11,2025,6,Wednesday,7,31,FALSE,-37.81379749,144.96995745
VAC_T,2025-05-16,2025,5,Friday,6,289,FALSE,-37.82129925,144.96879309
280Will_T,2025-05-07,2025,5,Wednesday,21,132,FALSE,-37.81246271,144.95690188
Eli124_T,2025-07-10,2025,7,Thursday,8,719,FALSE,-37.81512416,144.96371988
Spencer_T,2025-05-13,2025,5,Tuesday,0,43,FALSE,-37.821728,144.95557015
WatCit_T,2025-06-28,2025,6,Saturday,20,194,TRUE,-37.81564989,144.93970694
Boyd2837_T,2025-05-16,2025,5,Friday,12,149,FALSE,-37.82590962,144.96185972
280Will_T,2025-05-19,2025,5,Monday,8,327,FALSE,-37.81246271,144.95690188
