sensor_name,hour,is_weekend,avg_count,max_count,min_count,latitude,longitude,day_type
261Will_T,0,FALSE,47.5,79,15,-37.81295822,144.95678789,Weekday
261Will_T,0,TRUE,79.25,162,35,-37.81295822,144.95678789,Weekend
261Will_T,1,FALSE,25.789473684210527,95,9,-37.81295822,144.95678789,Weekday
261Will_T,1,TRUE,48,74,27,-37.81295822,144.95678789,Weekend
261Will_T,2,FALSE,18.470588235294116,48,6,-37.81295822,144.95678789,Weekday
261Will_T,2,TRUE,43.5,61,26,-37.81295822,144.95678789,Weekend
261Will_T,3,FALSE,11.173913043478262,23,2,-37.81295822,144.95678789,Weekday
261Will_T,3,TRUE,32.142857142857146,45,21,-37.81295822,144.95678789,Weekend
261Will_T,4,FALSE,12.733333333333333,30,4,-37.81295822,144.95678789,Weekday
261Will_T,4,TRUE,15.857142857142858,26,8,-37.81295822,144.95678789,Weekend
261Will_T,5,FALSE,69.76470588235294,109,22,-37.81295822,144.95678789,Weekday
261Will_T,5,TRUE,32.666666666666664,43,16,-37.81295822,144.95678789,Weekend
261Will_T,6,FALSE,244.20689655172413,363,85,-37.81295822,144.95678789,Weekday
261Will_T,6,TRUE,40.125,87,13,-37.81295822,144.95678789,Weekend
261Will_T,7,FALSE,686.5294117647059,918,49,-37.81295822,144.95678789,Weekday
261Will_T,7,TRUE,60,78,37,-37.81295822,144.95678789,Weekend
261Will_T,8,FALSE,2489.5625,2973,1691,-37.81295822,144.95678789,Weekday
261Will_T,8,TRUE,110.83333333333333,155,77,-37.81295822,144.95678789,Weekend
261Will_T,9,FALSE,1097.4375,1564,274,-37.81295822,144.95678789,Weekday
261Will_T,9,TRUE,177.8,243,119,-37.81295822,144.95678789,Weekend
261Will_T,10,FALSE,618.5,786,377,-37.81295822,144.95678789,Weekday
261Will_T,10,TRUE,201.07142857142858,272,96,-37.81295822,144.95678789,Weekend
261Will_T,11,FALSE,495,677,217,-37.81295822,144.95678789,Weekday
261Will_T,11,TRUE,259.6,295,214,-37.81295822,144.95678789,Weekend
261Will_T,12,FALSE,724.0714285714286,1285,192,-37.81295822,144.95678789,Weekday
261Will_T,12,TRUE,236.71428571428572,343,124,-37.81295822,144.95678789,Weekend
