name,artist,art_date,address,category,latitude,longitude
Threaded Field,Simon Perry,1999,"157 Wurundjeri Way, DOCKLANDS",Art,-37.8152979137773,144.947771877035
Cow Up A Tree,John Kelly,2000,"135 Harbour Esplanade, DOCKLANDS",Art,-37.8171223164672,144.945279753599
Coat of Arms,City of Melbourne,1992,"100 Swanston Street, MELBOURNE",Art,-37.8151225543656,144.966479473485
Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,"Birrarung Marr, MELBOURNE",Art,-37.8187207058813,144.974110660022
Thomas Ferguson Memorial Drinking Fountain,unknown,1912,"179 Leicester Street, CARLTON",Monument,-37.8015394618203,144.960227228018
The Water Nymph,Paul Montford,1925,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",Art,-37.8222098236425,144.971335339413
Blowhole,Duncan Stemler,2005,"15 Harbour Esplanade, DOCKLANDS",Art,-37.8219524131263,144.946745954515
Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,"Birrarung Marr, MELBOURNE",Art,-37.8187508719706,144.974172398306
Mockridge Fountain,"Ron Jones, Simon Perry and Darryl Cowie",c. 2000,"City Square, Collins St, MELBOURNE",Fountain,-37.8155224156707,144.966994359113
Signature Work,Emily Floyd,2004,"22 Waterview Walk, DOCKLANDS",Art,-37.8192431329106,144.947246784778
Captain Matthew Flinders Statue,Sculptor Charles Web Gilbert; founder F. Barbedienne,1923,"30 Swanston Street, MELBOURNE",Monument,-37.8169633123315,144.967487606224
Art Wall,Peter D. Cole,2000,"160 Harbour Esplanade, DOCKLANDS",Art,-37.8155779391708,144.946321235909
Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,"Enterprize Park, MELBOURNE",Art,-37.8202412036118,144.959153249799
Passage,Mark Stoner,1994,"92 Therry Street, MELBOURNE",Monument,-37.8074524440917,144.958306664206
Silence,Adrian Mauriks,2003,"50 Newquay Promenade, DOCKLANDS",Art,-37.8150519675867,144.941598936717
Fault Line,Hossein Valamesh,1996,"8 Riverside Quay, SOUTHBANK",Art,-37.8211525582271,144.964238031747
Speakers Corner,Evangelos Sakaris,c. 2000,"Birrarung Marr, MELBOURNE",Art,-37.8200825876335,144.975716740604
Painted Poles,Maree Clarke and Sonja Hodge,1992,"50 Swanston Street, MELBOURNE",Art,-37.8162685331984,144.967006461765
Nurse Edith Cavell,Margaret Baskerville,1926,"294 St Kilda Road, SOUTHBANK",Monument,-37.8279878719975,144.97369919611899
Webb Bridge,Robert Owen and Denton Corker Marshall,2003,"50 River Esplanade, DOCKLANDS",Art,-37.8239756487966,144.947233077573
Poise,Warren Langley,2005,"110 Harbour Esplanade, DOCKLANDS",Art,-37.8180105674976,144.946830696021
John F. Kennedy Memorial,Raymond B. Ewers,1965,"3 Treasury Place, EAST MELBOURNE",Monument,-37.8136597830075,144.976354519479
Painted Poles,Jennifer McCarthy,1992,"316 Swanston Street, MELBOURNE",Art,-37.8100968762417,144.964165129049
The Wave,Vashti Gonda,2006,"12 Georgiana Street, DOCKLANDS",Art,-37.821493403054,144.950437271721
Fairies Tree,Ola Cohn,1934,"88 Clarendon Street, EAST MELBOURNE",Art,-37.8134099807547,144.98110228888
The Court Favourite,Paul Montford,unknown,"394 William Street, MELBOURNE",Art,-37.81026401562,144.955039032582
Henderson Drinking Fountain,Walter MacFarlane,1877,"76 Errol Street, NORTH MELBOURNE",Art,-37.8033418056724,144.949739183347
Continuum,Michael Snape,2005,"17 Waterview Walk, DOCKLANDS",Art,-37.8191896959513,144.946998425444
Constellation,Bruce Armstrong and Geoffrey Bartlett,1996,"469 Flinders Street, MELBOURNE",Art,-37.8202715915496,144.960597777255
Constellation,Bruce Armstrong and Geoffrey Bartlett,1996,"469 Flinders Street, MELBOURNE",Art,-37.8202185496201,144.96072531937
Ned and Dan,Alexander Knox,2006,"37 Caravel Lane, DOCKLANDS",Art,-37.81452427966,144.940608832218
Weathervanes,Daniel Jenkins,1993,"270 Bourke Street, MELBOURNE",Art,-37.8134883855915,144.965515931433
Mary Gilbert Memorial,Alisa O'Connor,1975,"Conservatory, Fitzroy Gardens, 274 Wellington Parade, EAST MELBOURNE",Monument,-37.8140756651063,144.97856026709
Walk of Stars,Peter Cortlett and Jamie Cooper,2006,"435 Docklands Drive, DOCKLANDS",Art,-37.8152456579572,144.938853960352
Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,"Birrarung Marr, MELBOURNE",Art,-37.8186738864394,144.974167165492
Coat of Arms,City of Melbourne,1992,"98 Swanston Street, MELBOURNE",Art,-37.8151582937289,144.966495940551
