clue_area,drinking_fountains,landmarks,artworks,memorials,toilets,bars_pubs,cafes_restaurants,total
Melbourne (CBD),101,92,105,80,33,277,1527,2215
Southbank,43,62,75,49,10,35,183,457
Carlton,7,3,1,1,1,29,306,348
Docklands,27,11,39,4,4,18,218,321
North Melbourne,12,9,5,5,3,23,151,208
Parkville,37,22,9,11,8,3,45,135
Other,44,22,24,10,6,0,0,106
West Melbourne (Residential),0,0,0,0,0,9,77,86
Kensington,14,8,2,2,3,5,45,79
East Melbourne,0,2,0,0,0,4,58,64
Melbourne (Remainder),0,0,0,0,0,3,49,52
South Yarra,11,8,0,0,5,2,13,39
Port Melbourne,0,0,0,0,0,1,22,23
West Melbourne,6,3,1,1,1,0,0,12
West Melbourne (Industrial),0,0,0,0,0,0,12,12
