clue_area,drinking_fountains,landmarks,artworks,memorials,toilets,bars_pubs,Accommodation,Bakery Manufacturing,Cafes_Restaurants_Indoor,Cafes_Restaurants_Outdoor,Internet Services,Other Food & Hospitality,Other Services,"Pubs, Taverns and Bars",Sports & Recreation,Takeaway Food Services,total
Melbourne (CBD),101,92,105,80,33,277,39,6,867,229,3,20,23,109,3,228,2215
Southbank,43,62,75,49,10,35,9,0,106,34,0,0,11,9,0,14,457
Carlton,7,3,1,1,1,29,5,3,144,78,2,5,3,18,1,47,348
Docklands,27,11,39,4,4,18,5,1,122,55,0,2,4,5,1,23,321
North Melbourne,12,9,5,5,3,23,1,1,63,21,1,2,4,20,0,38,208
Parkville,37,22,9,11,8,3,1,0,21,10,0,1,1,1,0,10,135
Other,44,22,24,10,6,0,0,0,0,0,0,0,0,0,0,0,106
West Melbourne (Residential),0,0,0,0,0,9,3,1,48,9,0,0,1,10,1,4,86
Kensington,14,8,2,2,3,5,0,1,22,8,0,0,2,2,0,10,79
East Melbourne,0,2,0,0,0,4,5,0,30,12,0,1,3,3,0,4,64
Melbourne (Remainder),0,0,0,0,0,3,1,0,22,15,0,2,2,0,1,6,52
South Yarra,11,8,0,0,5,2,1,1,4,5,0,0,0,0,1,1,39
Port Melbourne,0,0,0,0,0,1,0,1,11,5,0,1,2,0,0,2,23
West Melbourne,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,12
West Melbourne (Industrial),0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,5,12
