base_property_id,census_year,name,business_address,number_of_patrons,latitude,longitude,clue_area
103615,2007,The Owl & The Pussycat,"Shop 2, Ground , 333 Exhibition Street MELBOURNE 3000",100,-37.80780226572104,144.96806936930756,Melbourne (CBD)
600431,2015,Underbridge Sports Bar & Cafe,Part 816 Lorimer Street PORT MELBOURNE 3207,60,-37.82204522292776,144.9309905271,Port Melbourne
101202,2017,VS Sports Bar,"Part Level 2, 206 Bourke Street MELBOURNE 3000",80,-37.81267380947152,144.96687115185,Melbourne (CBD)
105954,2018,Little Red Pocket,"Front Mezzanine , 422 Little Collins Street MELBOURNE 3000",200,-37.81590751060847,144.960326283,Melbourne (CBD)
106433,2018,Ding Dong Lounge,"Level 1, 18 Market Lane MELBOURNE 3000",300,-37.8117510903,144.96940300382883,Melbourne (CBD)
110106,2019,Metropolitan Hotel,263-267 William Street MELBOURNE 3000,300,-37.812923770050006,144.95658352206044,Melbourne (CBD)
100160,2020,Nomads Melbourne,196-200 A'Beckett Street MELBOURNE VIC 3000,200,-37.809991913454375,144.9574428265,Melbourne (CBD)
593728,2020,Waterfront Venues Melbourne,"Suite 2, Level 1 78 Newquay Promenade DOCKLANDS VIC 3008",1059,-37.8152440667,144.93958160663215,Docklands
108532,2023,Whiskey Den,"Lot 2B, Ground 27 Russell Street MELBOURNE VIC 3000",40,-37.81598739985,144.9692476162641,Melbourne (CBD)
108067,2023,Chaise Lounge,Basement 105 Queen Street MELBOURNE VIC 3000,140,-37.816154899500006,144.96081186462072,Melbourne (CBD)
105962,2023,Glamp Bar,"Shop 1, 236 Little Collins Street MELBOURNE VIC 3000",200,-37.8141314686,144.96680036332666,Melbourne (CBD)
101113,2023,Madame Brussels,Level 3 59-63 Bourke Street MELBOURNE VIC 3000,256,-37.81212342700134,144.9715655659,Melbourne (CBD)
101193,2023,Alto Event Space,Office T03 338-352 Bourke Street MELBOURNE VIC 3000,400,-37.813603510656634,144.96328859745,Melbourne (CBD)
105704,2023,Trapt Bar & Escape Rooms,"Unit 1, 377 Lonsdale Street MELBOURNE VIC 3000",331,-37.8128794732693,144.96145448655,Melbourne (CBD)
105746,2023,Hoyts,Cinema Level 3 300 Lonsdale Street MELBOURNE VIC 3000,300,-37.8109017475,144.96283887063584,Melbourne (CBD)
109714,2023,Benchwarmer,Ground 345 Victoria Street WEST MELBOURNE VIC 3003,90,-37.80546285827148,144.9499612966,West Melbourne (Residential)
109709,2023,White Bark Wine,Ground 313 Victoria Street WEST MELBOURNE VIC 3003,50,-37.80556535749169,144.95109253555,West Melbourne (Residential)
109993,2023,Hotel Pullman on The Park,Pullman Melbourne on the Park 192 Wellington Parade EAST MELBOURNE VIC 3002,280,-37.81582309525,144.9834985310669,East Melbourne
110477,2023,Crown Entertainment Complex,Crown Entertainment Complex Crown Casino 8 Whiteman Street SOUTHBANK VIC 3006,320,-37.8231615915,144.95833415319856,Southbank
110537,2023,The Boatbuilders Yard,23 South Wharf Promenade SOUTH WHARF VIC 3006,1438,-37.8243151474,144.953427152051,Southbank
103165,2023,Dreams Gentlemen's Club,288 Flinders Street MELBOURNE VIC 3000,160,-37.8180566348,144.96460797480603,Melbourne (CBD)
103952,2023,Akai Ito / Ototo,349 Flinders Lane MELBOURNE VIC 3000,120,-37.8178728705466,144.9628576858,Melbourne (CBD)
103922,2023,Garden State Hotel,95-101 Flinders Lane MELBOURNE VIC 3000,840,-37.8155271957592,144.97109866785,Melbourne (CBD)
103928,2023,Meatball & Wine Bar,Ground 135 Flinders Lane MELBOURNE VIC 3000,110,-37.81573933184235,144.97015887790002,Melbourne (CBD)
606461,2023,Batman's Hill On Collins,623 Collins Street MELBOURNE VIC 3000,1500,-37.8192924326,144.95468930417508,Melbourne (CBD)
101789,2023,Hell's Kitchen,Mezzanine 20A Centre Place MELBOURNE VIC 3000,55,-37.81660289619204,144.96559654045,Melbourne (CBD)
105318,2023,Hotel Sophia,Hotel Sophia 277-287 King Street MELBOURNE VIC 3000,116,-37.81367554097035,144.95419986245005,Melbourne (CBD)
105749,2023,Father's Office,249 Little Lonsdale Street MELBOURNE VIC 3000,338,-37.81067861705,144.965725053002,Melbourne (CBD)
110747,2023,Podium,Part Ground 501 Swanston Street MELBOURNE VIC 3000,200,-37.80693100035,144.96192497362023,Melbourne (CBD)
102714,2023,Taquito,350-352 Drummond Street CARLTON VIC 3053,100,-37.7977107399,144.969271200536,Carlton
110335,2023,Left Bank Melbourne,Part Ground 1 Southbank Boulevard SOUTHBANK VIC 3006,400,-37.82103934615,144.96286670927697,Southbank
620318,2023,Melbourne Marriott Hotel Docklands,15 Waterfront Way DOCKLANDS VIC 3008,62,-37.81372142742242,144.9391383741,Docklands
110669,2004,Grosvenor Tavern,"Basement , 25 Little Collins Street MELBOURNE 3000",230,-37.81569962584264,144.96300475180894,Melbourne (CBD)
109366,2006,Plough and Harrow Hotel,125-127 Swanston Street CARLTON 3053,400,-37.80277137275811,144.96395480388765,Carlton
103605,2007,Sen Karaoke Bar,231-233 Exhibition Street MELBOURNE 3000,120,-37.810509029672616,144.96952230092296,Melbourne (CBD)
108572,2007,Tilt,272 Russell Street MELBOURNE 3000,130,-37.81007370116682,144.96714253225628,Melbourne (CBD)
