base_property_id,census_year,name,business_address,industry_code,industry_desc,seating_type,number_of_seats,latitude,longitude,clue_area
102086,2019,Lindt Chocolat Cafe,"Shop , Abutting 271 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,38,-37.81654781240799,144.96497351275002,Melbourne (CBD)
105391,2016,Chilli India,"Part Ground , 140-146 King Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,75,-37.81673696529579,144.95628515442587,Melbourne (CBD)
101048,2017,Garage Cafe & Bar,"Part Ground , 213 Berkeley Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,70,-37.80041001275001,144.95841066532603,Carlton
102187,2017,Teresa's Cafe,Part 90-98 Coode Road WEST MELBOURNE 3003,4512,Takeaway Food Services,Seats - Indoor,3,-37.811210543399994,144.92234829860743,West Melbourne (Industrial)
109312,2018,Hokuto Japanese Cafe,"Ground , 389 Swanston Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Outdoor,8,-37.809455816,144.9634152524011,Melbourne (CBD)
108048,2018,Sheila Baxter Training Centre Pty Ltd,91-93 Queens Bridge Street SOUTHBANK 3006,8101,Technical and Vocational Education and Training,Seats - Indoor,24,-37.8243599276,144.96090633511037,Southbank
105635,2019,Cafe Trutrack,"Part Ground , 56-62 Leveson Street NORTH MELBOURNE 3051",4511,Cafes and Restaurants,Seats - Outdoor,20,-37.8028418476,144.9514856841173,North Melbourne
575151,2019,Counter,104B Errol Street NORTH MELBOURNE 3051,4512,Takeaway Food Services,Seats - Outdoor,4,-37.80247625545,144.9500268711638,North Melbourne
105225,2019,Dumpling Station,Part 201-205 Kensington Road WEST MELBOURNE 3003,4512,Takeaway Food Services,Seats - Indoor,10,-37.80088043885976,144.91683352615,West Melbourne (Industrial)
108638,2019,The Deck Cafe On St Kilda Road,Part Ground 479 St Kilda Road MELBOURNE VIC 3004,4511,Cafes and Restaurants,Seats - Indoor,32,-37.84188069845,144.97855578386498,Melbourne (Remainder)
102081,2021,Ganache Chocolate Lounge,Ground 245 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,16,-37.816061838299795,144.96582950754998,Melbourne (CBD)
103325,2021,Hudsons Elizabeth Street,84-86 Elizabeth Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,31,-37.8159129499,144.96418214767343,Melbourne (CBD)
105919,2021,Polepole Bar & Kitchen/Glamp,Part Ground & Level 1 267 Little Collins Street MELBOURNE VIC 3000,4520,"Pubs, Taverns and Bars",Seats - Indoor,70,-37.814831977068074,144.9656017104,Melbourne (CBD)
100398,2021,Rockpool Events & Catering,Gnd & Flr1 7 Alfred Place MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,185,-37.8140128186636,144.9699104238,Melbourne (CBD)
102155,2021,Elements Catering,Part Gnd Lvl Foyer & Shop 3 Podium 120 Collins Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,50,-37.81400034895,144.9693156901375,Melbourne (CBD)
102157,2021,Garcon Paris Steakhouse,"Shop 5, Ground 90 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,65,-37.814017675237665,144.9702869013,Melbourne (CBD)
101176,2021,Cafenatics,"Shop 4, 500 Bourke Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,39,-37.81494328910046,144.9587722405,Melbourne (CBD)
101176,2021,Movida Aqui,"Shop 7, 500 Bourke Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Outdoor,50,-37.81494328910046,144.9587722405,Melbourne (CBD)
110145,2021,Pho Melbourne,170 William Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,57,-37.8149175538,144.9582198443308,Melbourne (CBD)
105846,2021,Grill'd Healthy Burgers,369-371 Little Bourke Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,90,-37.81367164858022,144.96178171780002,Melbourne (CBD)
108586,2021,David's Spicy Pot,166 Russell Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,76,-37.8123200498,144.96820630246282,Melbourne (CBD)
105381,2021,Hibachi,228-230 King Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,100,-37.81478619225,144.95530902931483,Melbourne (CBD)
108576,2021,Shanxi Street Food,260-262 Russell Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,62,-37.810254818450005,144.96722712478976,Melbourne (CBD)
105326,2021,The Haileyburian,Part Ground 383 King Street WEST MELBOURNE VIC 3003,4511,Cafes and Restaurants,Seats - Outdoor,12,-37.81110763142357,144.9529244668,West Melbourne (Residential)
110010,2021,Hard Pressed,76 Wellington Parade EAST MELBOURNE VIC 3002,4511,Cafes and Restaurants,Seats - Outdoor,6,-37.816377283351045,144.98755482575,East Melbourne
107632,2021,Magnolia Court Boutique Hotel,95-101 Powlett Street EAST MELBOURNE VIC 3002,4400,Accommodation,Seats - Outdoor,12,-37.81337466405,144.9853028460347,East Melbourne
100353,2021,Degani @ East Melbourne,"Shop 1, 372-376 Albert Street EAST MELBOURNE VIC 3002",4511,Cafes and Restaurants,Seats - Outdoor,18,-37.8096392096,144.9787049235106,East Melbourne
109542,2021,Treasury Cafe,Part Level 1 1 MacArthur Street EAST MELBOURNE VIC 3002,4511,Cafes and Restaurants,Seats - Outdoor,80,-37.81280015315,144.97567152833767,East Melbourne
110401,2022,Urban Central Accommodation,Pt Ground & Levels 1-5 334-342 City Road SOUTHBANK VIC 3006,4400,Accommodation,Seats - Indoor,50,-37.8278377219,144.9573512903071,Southbank
103948,2023,Cuff,Part Ground 325 Flinders Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,20,-37.817758351759565,144.96349102099998,Melbourne (CBD)
108115,2023,Maha Restaurant,Basement 21-27 Bond Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,20,-37.8181930679,144.96253029605134,Melbourne (CBD)
103942,2023,Cafe Andiamo,36-38 Degraves Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,68,-37.817063086367355,144.9659026789,Melbourne (CBD)
104026,2023,Pastuso,19 ACDC Lane MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Indoor,170,-37.81600505953291,144.97115550389998,Melbourne (CBD)
579252,2023,Pho Nom,"Tenancy 4, 567 Collins Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,16,-37.8190200855,144.95572468102446,Melbourne (CBD)
