description,latitude,longitude,clue_area
Leaf Type - With Bottle Refill Tap - Flagstaff Gardens,-37.81043106640399,144.95558395492208,Melbourne (CBD)
Leaf Type - Dog Bowl  - JJ Holland Park,-37.79841970759794,144.92421993826414,Kensington
Leaf Type - Dog Bowl  - Alexandra Gardens,-37.821103585220605,144.97249534473832,Southbank
Stainless Steel Drinking Fountain - Leaf Type,-37.814695182979264,144.93847737611912,Docklands
Stainless Steel Drinking Fountain - Leaf Type,-37.818939263478214,144.9434869291295,Docklands
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.811050947085775,144.96714245008525,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - North Melbourne Recreation Reserve,-37.79922710932603,144.94028139112405,North Melbourne
Drinking fountain - Historic or Heritage Drinking Fountains - Liddy Street Reserve (KENSINGTON),-37.79009686226306,144.9257559567742,Kensington
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81261776692698,144.9683505786709,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type,-37.81812625933699,144.9458429589375,Docklands
Leaf Type - Dog Bowl  - Neill Street Reserve,-37.79583501177402,144.96807205336754,Parkville
Leaf Type - Dog Bowl  - Fawkner Park,-37.8452141594852,144.98256140204748,South Yarra
Stainless Steel Drinking Fountain - Leaf Type - Bellair Street Reserve,-37.795526766864704,144.93075415955866,West Melbourne
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.800491981075275,144.96374391208968,Melbourne (CBD)
Stainless Steel Drinking Fountain - Northbank Type,-37.82022017744959,144.94480746086566,Other
Stainless Steel Drinking Fountain - Leaf Type - Kings Domain South,-37.828809493040296,144.97413127261856,Southbank
Leaf Type - With Bottle Refill Tap - Shrine of Remembrance Reserve,-37.83081555124981,144.97427512305256,Other
Stainless Steel Drinking Fountain - Old Docklands Type,-37.819668916851825,144.9417577515994,Docklands
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80501832400133,144.94911036775298,North Melbourne
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.80725891583743,144.94696422855037,North Melbourne
Drinking Fountain - Type 1,-37.80611690395517,144.9571333967204,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81047950700537,144.96434622822136,Melbourne (CBD)
Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,-37.81232314728076,144.98893301349375,Southbank
