asset_type,name,artist,art_date,structure,latitude,longitude,clue_area
Art,Threaded Field,Simon Perry,1999,Sculpture,-37.8152979137773,144.947771877035,Docklands
Art,Cow Up A Tree,John Kelly,2000,Bronze sculpture,-37.8171223164672,144.945279753599,Docklands
Art,Coat of Arms,City of Melbourne,1992,Brass pavement inlay,-37.8151225543656,144.966479473485,Melbourne (CBD)
Art,Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8187207058813,144.974110660022,Melbourne (CBD)
Monument,Thomas Ferguson Memorial Drinking Fountain,unknown,1912,Stone drinking fountain,-37.8015394618203,144.960227228018,Melbourne (CBD)
Art,The Water Nymph,Paul Montford,1925,Bronze sculpture,-37.8222098236425,144.971335339413,Southbank
Art,Blowhole,Duncan Stemler,2005,Stainless-steel and aluminium sculpture,-37.8219524131263,144.946745954515,Other
Art,Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8187508719706,144.974172398306,Melbourne (CBD)
Fountain,Mockridge Fountain,"Ron Jones, Simon Perry and Darryl Cowie",c. 2000,Concrete fountain,-37.8155224156707,144.966994359113,Melbourne (CBD)
Art,Signature Work,Emily Floyd,2004,Painted aluminium sculpture,-37.8192431329106,144.947246784778,Docklands
Monument,Captain Matthew Flinders Statue,Sculptor Charles Web Gilbert; founder F. Barbedienne,1923,Bronze statue with granite plinth,-37.8169633123315,144.967487606224,Melbourne (CBD)
Art,Art Wall,Peter D. Cole,2000,3D Installation,-37.8155779391708,144.946321235909,Docklands
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8202412036118,144.959153249799,Southbank
Monument,Passage,Mark Stoner,1994,Bluestone sculpture,-37.8074524440917,144.958306664206,Melbourne (CBD)
Art,Silence,Adrian Mauriks,2003,Sculpture,-37.8150519675867,144.941598936717,Docklands
Art,Fault Line,Hossein Valamesh,1996,"Sandstone, wood and bronze sculpture",-37.8211525582271,144.964238031747,Southbank
Art,Speakers Corner,Evangelos Sakaris,c. 2000,Earthwork and pink-granite memorial,-37.8200825876335,144.975716740604,Southbank
Art,Painted Poles,Maree Clarke and Sonja Hodge,1992,Metal poles,-37.8162685331984,144.967006461765,Melbourne (CBD)
Monument,Nurse Edith Cavell,Margaret Baskerville,1926,Marble bust with cast-bronze panels on granite pedestal,-37.8279878719975,144.97369919611899,Southbank
Art,Webb Bridge,Robert Owen and Denton Corker Marshall,2003,Pedestrian and cyclist bridge,-37.8239756487966,144.947233077573,Other
Art,Poise,Warren Langley,2005,Glass,-37.8180105674976,144.946830696021,Docklands
Monument,John F. Kennedy Memorial,Raymond B. Ewers,1965,Bronze bas-relief head set in granite boulder on landscaped site,-37.8136597830075,144.976354519479,Melbourne (CBD)
Art,Painted Poles,Jennifer McCarthy,1992,Metal poles,-37.8100968762417,144.964165129049,Melbourne (CBD)
Art,The Wave,Vashti Gonda,2006,Media installation,-37.821493403054,144.950437271721,Southbank
Art,Fairies Tree,Ola Cohn,1934,Red Gum carving,-37.8134099807547,144.98110228888,Southbank
Art,The Court Favourite,Paul Montford,unknown,Bronze statue with granite pedestal,-37.81026401562,144.955039032582,Melbourne (CBD)
Art,Henderson Drinking Fountain,Walter MacFarlane,1877,Cast-iron drinking fountain,-37.8033418056724,144.949739183347,North Melbourne
Art,Continuum,Michael Snape,2005,Sculpture,-37.8191896959513,144.946998425444,Docklands
Art,Constellation,Bruce Armstrong and Geoffrey Bartlett,1996,"Stainless steel, copper and Cyrpus-pine sculpture",-37.8202715915496,144.960597777255,Southbank
Art,Constellation,Bruce Armstrong and Geoffrey Bartlett,1996,"Stainless steel, copper and Cyrpus-pine sculpture",-37.8202185496201,144.96072531937,Southbank
Art,Ned and Dan,Alexander Knox,2006,Three-dimensional frieze,-37.81452427966,144.940608832218,Docklands
Art,Weathervanes,Daniel Jenkins,1993,Hand-beaten copper sculpture with gold-leaf detail,-37.8134883855915,144.965515931433,Melbourne (CBD)
Monument,Mary Gilbert Memorial,Alisa O'Connor,1975,Cement fondue bust,-37.8140756651063,144.97856026709,Melbourne (CBD)
Art,Walk of Stars,Peter Cortlett and Jamie Cooper,2006,Bronze statue and plaques,-37.8152456579572,144.938853960352,Docklands
Art,Federation Bells,Designers Neil McLachlan and Anton Hasell,2002,Bronze-alloy bells on galvanised-steel poles,-37.8186738864394,144.974167165492,Melbourne (CBD)
Art,Coat of Arms,City of Melbourne,1992,Brass pavement inlay,-37.8151582937289,144.966495940551,Melbourne (CBD)
Art,Beyond the Ocean of Existence,Loretta Quinn,1993,Bronze sculpture on granite plinth,-37.8164236569551,144.967061542145,Melbourne (CBD)
Art,Silence,Adrian Mauriks,2003,Sculpture,-37.8150960305524,144.941483193022,Docklands
Art,Zoo Paving,Tanya Court and Kate Cullity,1995,Coloured concrete paving,-37.7825613531513,144.953293881649,Parkville
Art,Within Three Worlds,Loretta Quinn,1995,Bronze sculpture,-37.7788722549869,144.961103719498,Other
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8200765201921,144.959699691425,Southbank
Art,City Living,Andrew Rogers,1995,Bronze sculpture,-37.8114750198729,144.953165492089,Melbourne (CBD)
Art,Ceremony and Vehicle for Conveying Spirit,Maurie Hughes,1996,"Silicon bronze, galvanized and mild steel sculpture",-37.8136957980367,144.968513035861,Melbourne (CBD)
Art,Scar - A Stolen Vision,"Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,Wooden pier post and metal sculptures,-37.8200785738744,144.959627380846,Southbank
Art,Resting Place,Bronwyn Snow,1994,Steel and jarrah seat,-37.8103720817164,144.964076502567,Melbourne (CBD)
Art,"Another View, Site 8",Ray Thomas,1994,Stone and brass paving inlay,-37.8194133196692,144.960198717453,Melbourne (CBD)
Art,Aqualung,John Mead,2006,Abstract sculpture,-37.8188433297473,144.945067618085,Docklands
Art,Architectural Fragment,Petrus Spronk,1992,Bluestone sculpture,-37.8098275629139,144.96404608881,Melbourne (CBD)
Monument,William Ievers Junior Memorial Drinking Fountain,Charles Douglas Richardson,1916,"Granite, marble and bluestone drinking fountain",-37.7982578658973,144.97056466482599,Carlton
Monument,South African War Memorial,Architect - G. De Lacy-Evans Sculptor - Joseph Hamilton,1904,Sandstone and bluestone sculpture,-37.8259414951225,144.971856818756,Southbank
Art,People's Path,Ian Sprague et al,1978-1979,Terracotta bricks (tiles),-37.8110235407409,144.978389216138,Melbourne (CBD)
Monument,Samuel Mauger Drinking Fountain,unknown,1937,Granite drinking fountain,-37.8082489459354,144.975315385075,Melbourne (CBD)
Monument,Robert Burns Memorial,George Anderson Lawson,1903,Bronze statue and plinth with granite pedestal,-37.814373582353,144.974720032667,Melbourne (CBD)
Art,Silence,Adrian Mauriks,2003,Sculpture,-37.8150877523684,144.941573967784,Docklands
Art,Silence,Adrian Mauriks,2003,Sculpture,-37.8151131017782,144.941629273114,Docklands
